x,y
2,70
79,100
51,47
63,63
85,71
97,44
89,40
94,62
81,78
8,58
64,21
84,97
71,62
90,12
13,35
21,80
88,6
63,43
100,43
67,21
77,14
64,12
9,74
36,42
72,47
1,52
15,50
51,97
94,40
91,84
10,69
71,14
61,57
18,72
70,4
59,61
11,38
18,56
18,64
93,73
76,24
23,80
30,74
15,32
94,21
81,94
63,21
11,56
57,86
34,64
1,57
5,93
37,93
1,46
83,90
58,19
56,78
94,23
87,22
14,19
43,24
45,65
58,83
92,9
59,64
94,90
18,33
58,12
59,61
6,64
34,76
72,64
87,78
72,17
32,35
4,94
35,62
3,70
79,31
41,54
92,73
80,46
85,32
41,23
99,71
7,17
75,74
66,65
86,37
51,37
34,31
80,96
84,66
27,93
69,45
94,52
79,79
37,37
17,1
84,1
